title,startDate,endDate,location,content
"리드볼트 팝업 : 아 출근하기 싫다",25.08.23,25.08.31,"서울 성동구 연무장길 5-5, MOVIE LAND 성수",영화 상영과 여행 소장품 및 굿즈를 만나볼 수 있는 특별한 공간. 주말에만 운영되니 서둘러 방문하세요!
"커리쉴 팝업 CENTELLA LAB","25.08.27","25.09.02","서울 성동구 연무장길 81, 무신사 뷰티 스페이스 1","두피·모발 진단부터 럭키드로우, 샘플링까지! 헤어케어에 관심 있다면 필수 방문 코스."
"DAY6.zip : The Home of Our Decade","25.09.01","25.09.07","서울 강남구 도산대로15길 35, 신사 지스퀘어","데이식스 10주년 기념 팝업스토어!"
"오도넛 팝업","25.08.27","25.09.07","서울 성동구 연무장길 17","대만 밀크도넛 성수 첫 상륙"
"라로슈포제 50주년 팝업스토어","25.08.29","25.09.07","서울 성동구 연무장길 95, MM성수","라로슈포제 50주년을 맞아, 더 나은 삶을 위한 50년의 연구의 비밀을 담은 라이프-체인징 시크릿 팝업에 초대합니다."
"루트인성수","25.08.29","25.09.07","서울 성동구 성수일로 33 (성수동1가)","패션, 뷰티, 리추얼, 향, 식음, 움직임까지! 나를 이루는 모든 감각을 자유롭게 탐험하는 3층짜리 대형 놀이터"
"오브제 X 두카티 팝업","25.08.27",25.09.07,"서울 성동구 연무장7길 13, 올리브영N성수","남성 색조 브랜드와 명품 모터사이클 브랜드가 만났디!"
"요기보 더현대 서울 팝업",25.08.22,25.09.07,"서울 영등포구 여의대로 108, 더현대 서울 5층","몽환적 무드의 '요기보 가든'과 실제 생활공간 '요기보 룸'을 한 자리에서 체험하고, 대표 빈백, 바디필로우에 직접 체험해보세요."
"크러쉬 X 러쉬 팝업 : Crush with Lush","25.08.28","25.09.07","서울 성동구 연무장길 58-1","크러쉬의 새 앨범 <FANG> 출시를 기념해 러쉬와 특별한 이벤트를 준비했다고 합니다 향기로운 공간에서 크러쉬의 감미로운 음악을 경험해보세요."
"NCT WISH : Find Your Color","25.09.02","25.09.09","서울 성동구 연무장길 65, 영남공업사","NCT WISH 앨범 발매 기념 팝업스토어 OPEN 핑크 사쿠팡 실물 영접할 수 있는 팝업이 찾아왔습니다"
"더보이즈 - LUCKY LITTLE THINGS","25.08.20","25.09.10","서울 성동구 성수이로 69, 삼화빌딩","THE BOYZ 팝업이 성수에 찾아왔어요 성수에서 LUCKY LITTLE THINGS 팝업을 만나보세요!"
"치플레 팝업 - 인천 롯데백화점","25.08.29","25.09.11","인천 미추홀구 연남로 35, 롯데백화점 인천 B1층","서울 3대 치즈케이크 '치플레'의 인천 롯데백화점 팝업에는 인천에서 처음 선보이는 플레이버 딥브레가 준비되어 있습니다!"
"나가노마켓 - 성수","25.08.29","25.09.14","서울 성동구 연무장길 97 (성수동2가)","한국 한정 컬러곰을 판매하는 나가노 팝업이 성수에 찾아왔습니다"
"달콤한 럭셔리, 하겐다즈 팝업스토어","25.09.05","25.09.14","서울 성동구 연무장길 98","하겐다즈 스틱바의 진정한 럭셔리를 경험할 수 있는 팝업스토어 세상에서 가장 달콤한 럭셔리 열차 Sweet Express에 지금 바로 탑승하세요"
"로라로라 팝업","25.08.12","25.09.14","서울 영등포구 여의대로 108, 더현대서울","프렌치 무드의 뉴웨이브 클래식 라이프 스타일 브랜드 로라로라가 더현대 서울에 작은 별장을 마련했습니다. 로라로라의 감성이 머무는 공간에서 가을의 여유로운 순간을 즐겨보세요."
"2025 짱구 팝업 - 청주","25.08.29","25.09.14","충북 청주시 흥덕구 2순환로 1225","2025년 짱구 팝업 스토어, 이번엔 숨바꼭질 컨셉으로 짱덕들을 찾아갑니다 두 번째 숨바꼭질 장소는 청주!"
"아르켓 팝업 스토어","25.09.06","25.09.14","서울 성동구 성수이로 97 1층","ARKET 팝업 스토어가 성수에 오픈합니다. 오직 팝업 스토어에서만 만날 수 있는 한정 캡슐 컬렉션과 다양한 커스텀 기프트, 그리고 ARKET 카페 웰컴 드링크까지."
"캐스퍼 취향 충전소","25.09.07","25.09.14","서울 성동구 연무장5길 20, 쎈느Scene 성수","나만의 스타일, 나만의 즐거움을 적극적으로 탐구해 나가는 분들이라면 캐스퍼 취향 충전소에 놀러 오세요!"
"스노우맨 팝업","25.08.30","25.09.14","서울 성동구 연무장길 73","무더운 여름 속, 시원한 설렘을 선사하는 '한여름 속 한겨울', 일본 인기 아이돌 Snow Man의 팝업 스토어에 여러분을 초대합니다."
"풀리오 X 롯데백화점 청량리점","25.09.05","25.09.14","서울 동대문구 왕산로 214, 롯데백화점 청량리점 4층 행사장","풀리오 리올랙스 멀티 체어 오프라인 공개!"
"풀리오 X 롯데백화점 인천점","25.09.05","25.09.15","인천 미추홀구 연남로 35, 롯데백화점 인천점 5층 행사장","롯데백화점 인천점 팝업스토어에서 풀리오 신상품 3종의 체험&판매가 이루어집니다."
